id,pai,x0,y0,x1,y1,raio,comprimento,fluxo,resistencia,volume
1,2,-0.001190,0.001334,-0.004890,-0.001044,0.000004,0.004398,0.000000,110826317002934688.000000,0.000000
2,0,0.004890,0.001044,-0.001190,0.001334,0.000006,0.006087,0.000000,35450883802234088.000000,0.000000
3,2,-0.001190,0.001334,-0.001700,0.001906,0.000004,0.000766,0.000000,19311139948025436.000000,0.000000
